row_id,Previous_description,Description,Fanout,Cap,Slew,Delay,X_drive,Y_drive,X_sink,Y_sink,C_drive,C_sink,X_context,Y_context,σ(X)_context,σ(Y)_context,Drive_cell_size,Sink_cell_size,Delta,Label_Delay_Typical,Label_Delay_Slow,Label_Delay_Fast
180032,_14465_/X (sky130_fd_sc_hd__a21o_2),_14466_/B2 (sky130_fd_sc_hd__o221a_2),1.0,0.0,0.03,0.0,511060.0,51680.0,512440.0,48960.0,0.323191,0.002391,12000.0,12000.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
180031,_14466_/B2 (sky130_fd_sc_hd__o221a_2),_14466_/X (sky130_fd_sc_hd__o221a_2),0.0,0.0,0.23,1.26,512440.0,48960.0,512440.0,48960.0,0.002391,0.296641,12000.0,12000.0,0.0,0.0,2.0,2.0,0.8099999999999998,2.07,2.07,2.07
328644,_09913_/X (sky130_fd_sc_hd__o21a_2),_14468_/D (sky130_fd_sc_hd__dfrtp_2),1.0,0.0,0.03,0.0,592020.0,266560.0,588340.0,263840.0,0.311289,0.002008,12000.0,12000.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
87684,_14468_/X (sky130_fd_sc_hd__a21o_2),_14469_/B2 (sky130_fd_sc_hd__o221a_2),1.0,0.0,0.03,0.0,561200.0,1145120.0,563960.0,1145120.0,0.323191,0.002391,12000.0,12000.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
128530,_14469_/B2 (sky130_fd_sc_hd__o221a_2),_14469_/X (sky130_fd_sc_hd__o221a_2),0.0,0.0,0.24,1.69,566260.0,1156000.0,566260.0,1156000.0,0.002391,0.296641,12000.0,12000.0,0.0,0.0,2.0,2.0,1.15,2.84,3.7199999999999998,2.49
375952,_1445_/X (sky130_fd_sc_hd__mux2_2),_1446_/A (sky130_fd_sc_hd__buf_1),1.0,0.0,0.05,0.0,186300.0,62560.0,182160.0,59840.0,0.31312,0.002152,12000.0,12000.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
264122,_0782_/Y (sky130_fd_sc_hd__o211ai_2),_1446_/D (sky130_fd_sc_hd__dfrtp_2),1.0,0.0,0.11,0.0,152260.0,81600.0,150420.0,84320.0,0.13917,0.002008,12000.0,12000.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
272460,_1221_/X (sky130_fd_sc_hd__a32o_2),_1446_/D (sky130_fd_sc_hd__dfrtp_2),1.0,0.0,0.04,0.0,85100.0,97920.0,83260.0,100640.0,0.276499,0.002008,12000.0,12000.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
381192,_1719_/X (sky130_fd_sc_hd__buf_2),_1446_/D (sky130_fd_sc_hd__dfrtp_2),1.0,0.0,0.02,0.0,115000.0,168640.0,113620.0,171360.0,0.331431,0.002008,12000.0,12000.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
276813,_1166_/X (sky130_fd_sc_hd__buf_1),_1446_/D (sky130_fd_sc_hd__dfstp_2),1.0,0.0,0.03,0.0,81420.0,242080.0,82800.0,239360.0,0.13093,0.002409,12000.0,12000.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
384166,_1719_/X (sky130_fd_sc_hd__buf_2),_1446_/D (sky130_fd_sc_hd__dfxtp_2),1.0,0.0,0.02,0.0,193200.0,114240.0,191360.0,111520.0,0.331431,0.001708,12000.0,12000.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
378767,_1723_/X (sky130_fd_sc_hd__buf_2),_1446_/D (sky130_fd_sc_hd__dfxtp_2),1.0,0.0,0.02,0.0,92000.0,114240.0,89700.0,116960.0,0.331431,0.001708,12000.0,12000.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
268977,_1374_/X (sky130_fd_sc_hd__buf_1),_1446_/S (sky130_fd_sc_hd__mux2_2),6.0,0.02,0.29,0.0,105800.0,312800.0,123280.0,320960.0,0.13093,0.0033,111412.0,323680.0,9884.11452786743,6934.666538486187,1.0,2.0,0.0,0.0,0.0,0.0
301547,_2157_/X (sky130_fd_sc_hd__buf_2),_1446_/S (sky130_fd_sc_hd__mux2_2),7.0,0.03,0.14,0.01,92000.0,108800.0,121900.0,108800.0,0.331431,0.0033,117453.33333333331,128293.33333333331,13019.435727659884,21720.29711276221,2.0,2.0,0.01,0.02,0.02,0.02
375951,_1446_/A (sky130_fd_sc_hd__buf_1),_1446_/X (sky130_fd_sc_hd__buf_1),0.0,0.0,0.02,0.84,182160.0,59840.0,182160.0,59840.0,0.002152,0.13093,12000.0,12000.0,0.0,0.0,1.0,1.0,-0.25,0.59,0.59,0.59
301546,_1446_/S (sky130_fd_sc_hd__mux2_2),_1446_/X (sky130_fd_sc_hd__mux2_2),0.0,0.0,0.04,3.72,121900.0,108800.0,121900.0,108800.0,0.0033,0.31312,12000.0,12000.0,0.0,0.0,2.0,2.0,-1.6900000000000004,2.03,2.03,0.19
299069,_1446_/A (sky130_fd_sc_hd__inv_2),_1446_/Y (sky130_fd_sc_hd__inv_2),0.0,0.0,0.18,1.81,101200.0,179520.0,101200.0,179520.0,0.004578,0.344248,12000.0,12000.0,0.0,0.0,2.0,2.0,-1.55,0.26,0.26,0.26
16639,_14470_/X (sky130_fd_sc_hd__a21o_2),_14471_/B2 (sky130_fd_sc_hd__o221a_2),1.0,0.0,0.05,0.0,913100.0,576640.0,915860.0,584800.0,0.323191,0.002391,12000.0,12000.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
328536,_09905_/X (sky130_fd_sc_hd__o21a_2),_14471_/D (sky130_fd_sc_hd__dfrtp_2),1.0,0.0,0.03,0.0,605820.0,277440.0,604440.0,274720.0,0.311289,0.002008,12000.0,12000.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
16638,_14471_/B2 (sky130_fd_sc_hd__o221a_2),_14471_/X (sky130_fd_sc_hd__o221a_2),0.0,0.0,0.04,2.39,915860.0,584800.0,915860.0,584800.0,0.002391,0.296641,12000.0,12000.0,0.0,0.0,2.0,2.0,1.65,4.04,4.04,2.05
106420,_14472_/X (sky130_fd_sc_hd__a21o_2),_14473_/B2 (sky130_fd_sc_hd__o221a_2),1.0,0.0,0.07,0.0,641240.0,35360.0,646760.0,27200.0,0.323191,0.002391,12000.0,12000.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
328365,_09897_/X (sky130_fd_sc_hd__buf_1),_14473_/D (sky130_fd_sc_hd__dfrtp_2),1.0,0.0,0.02,0.0,579600.0,342720.0,574540.0,340000.0,0.13093,0.002008,12000.0,12000.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
